Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/01/2017,ATL,-20.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,DTW,-5.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,MSP,-7.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,SLC,-7.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2018,ATL,293.0,220.0,12.0,29.0,0.0,43.0,2018-01-01
01/01/2018,DTW,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,MSP,-6.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,SLC,174.0,134.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2019,ATL,-9.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,DTW,-15.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,MSP,-15.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SLC,-4.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/02/2017,ATL,119.0,8.0,0.0,56.0,0.0,64.0,2017-01-02
01/02/2017,DTW,4.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,MSP,42.0,0.0,0.0,5.0,0.0,14.0,2017-01-02
01/02/2017,SLC,-2.0,0.0,0.0,24.0,0.0,0.0,2017-01-02
01/02/2018,ATL,31.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,DTW,27.0,27.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,MSP,19.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,SLC,-2.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2019,ATL,151.0,180.0,0.0,6.0,0.0,0.0,2019-01-02
01/02/2019,DTW,-1.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,MSP,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,SLC,-8.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/03/2017,ATL,99.0,10.0,4.0,0.0,0.0,59.0,2017-01-03
01/03/2017,DTW,-10.0,0.0,0.0,0.0,0.0,0.0,2017-01-03
01/03/2017,MSP,4.0,0.0,0.0,0.0,0.0,0.0,2017-01-03
01/03/2017,SLC,-9.0,0.0,0.0,0.0,0.0,0.0,2017-01-03
01/03/2018,ATL,38.0,0.0,0.0,0.0,0.0,0.0,2018-01-03
01/03/2018,DTW,-1.0,0.0,0.0,0.0,0.0,0.0,2018-01-03
01/03/2018,MSP,-12.0,0.0,0.0,0.0,0.0,0.0,2018-01-03
01/03/2018,SLC,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-03
01/03/2019,ATL,-27.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/03/2019,DTW,-4.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/03/2019,MSP,-8.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/03/2019,SLC,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/04/2017,ATL,99.0,3.0,0.0,0.0,0.0,60.0,2017-01-04
01/04/2017,DTW,63.0,0.0,0.0,0.0,0.0,61.0,2017-01-04
01/04/2017,MSP,-12.0,0.0,0.0,0.0,0.0,0.0,2017-01-04
01/04/2017,SLC,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-04
01/04/2018,ATL,-12.0,0.0,0.0,59.0,0.0,0.0,2018-01-04
01/04/2018,DTW,13.0,0.0,13.0,2.0,0.0,0.0,2018-01-04
01/04/2018,MSP,1.0,0.0,0.0,0.0,0.0,0.0,2018-01-04
01/04/2018,SLC,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-04
01/04/2019,ATL,-44.0,0.0,0.0,0.0,0.0,0.0,2019-01-04
01/04/2019,DTW,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-04
01/04/2019,MSP,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-04
01/04/2019,SLC,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-04
01/05/2017,ATL,44.0,9.0,0.0,0.0,0.0,38.0,2017-01-05
01/05/2017,DTW,-10.0,0.0,0.0,0.0,0.0,0.0,2017-01-05
01/05/2017,MSP,-3.0,0.0,0.0,0.0,0.0,0.0,2017-01-05
01/05/2017,SLC,79.0,3.0,0.0,0.0,0.0,59.0,2017-01-05
01/05/2018,ATL,75.0,0.0,0.0,0.0,0.0,0.0,2018-01-05
01/05/2018,DTW,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-05
01/05/2018,MSP,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-05
01/05/2018,SLC,23.0,0.0,0.0,0.0,0.0,0.0,2018-01-05
01/05/2019,ATL,-29.0,0.0,0.0,0.0,0.0,0.0,2019-01-05
01/05/2019,DTW,-8.0,0.0,0.0,0.0,0.0,0.0,2019-01-05
01/05/2019,MSP,-12.0,0.0,0.0,0.0,0.0,0.0,2019-01-05
01/05/2019,SLC,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-05
01/06/2017,ATL,4.0,9.0,0.0,26.0,0.0,6.0,2017-01-06
01/06/2017,DTW,4.0,0.0,0.0,0.0,0.0,0.0,2017-01-06
01/06/2017,MSP,-8.0,0.0,0.0,0.0,0.0,0.0,2017-01-06
01/06/2017,SLC,-1.0,0.0,0.0,0.0,0.0,0.0,2017-01-06
01/06/2018,ATL,-8.0,0.0,0.0,0.0,0.0,0.0,2018-01-06
01/06/2018,DTW,1.0,0.0,0.0,0.0,0.0,0.0,2018-01-06
01/06/2018,MSP,-6.0,0.0,0.0,0.0,0.0,0.0,2018-01-06
01/06/2019,ATL,172.0,5.0,0.0,0.0,0.0,48.0,2019-01-06
01/06/2019,DTW,-8.0,0.0,0.0,0.0,0.0,0.0,2019-01-06
01/06/2019,MSP,-7.0,0.0,0.0,0.0,0.0,0.0,2019-01-06
01/06/2019,SLC,-3.0,0.0,0.0,23.0,0.0,0.0,2019-01-06
01/07/2017,ATL,331.0,0.0,18.0,210.0,0.0,257.0,2017-01-07
01/07/2017,DTW,-11.0,0.0,0.0,0.0,0.0,0.0,2017-01-07
01/07/2018,ATL,135.0,69.0,0.0,0.0,0.0,0.0,2018-01-07
01/07/2018,DTW,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-07
01/07/2018,MSP,-1.0,0.0,0.0,0.0,0.0,0.0,2018-01-07
01/07/2018,SLC,59.0,10.0,0.0,0.0,0.0,12.0,2018-01-07
01/07/2019,ATL,-54.0,0.0,0.0,15.0,0.0,0.0,2019-01-07
01/07/2019,DTW,-17.0,0.0,0.0,0.0,0.0,0.0,2019-01-07
01/07/2019,MSP,-11.0,0.0,0.0,0.0,0.0,0.0,2019-01-07
01/07/2019,SLC,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-07
01/08/2017,ATL,432.0,228.0,0.0,0.0,0.0,120.0,2017-01-08
01/08/2017,DTW,-5.0,0.0,0.0,0.0,0.0,0.0,2017-01-08
01/08/2017,SLC,42.0,40.0,0.0,0.0,0.0,0.0,2017-01-08
01/08/2018,ATL,744.0,61.0,0.0,215.0,0.0,342.0,2018-01-08
01/08/2018,DTW,63.0,60.0,0.0,0.0,0.0,0.0,2018-01-08
01/08/2018,MSP,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-08
01/08/2018,SLC,58.0,18.0,0.0,0.0,0.0,16.0,2018-01-08
01/08/2019,ATL,101.0,25.0,0.0,85.0,0.0,38.0,2019-01-08
01/08/2019,DTW,-11.0,0.0,0.0,0.0,0.0,0.0,2019-01-08
01/08/2019,MSP,649.0,648.0,0.0,0.0,0.0,0.0,2019-01-08
01/08/2019,SLC,18.0,0.0,0.0,0.0,0.0,0.0,2019-01-08
01/09/2017,ATL,67.0,0.0,0.0,0.0,0.0,0.0,2017-01-09
01/09/2017,DTW,4.0,0.0,0.0,0.0,0.0,0.0,2017-01-09
01/09/2017,SLC,37.0,37.0,0.0,9.0,0.0,0.0,2017-01-09
01/09/2018,ATL,27.0,0.0,0.0,0.0,0.0,0.0,2018-01-09
01/09/2018,DTW,-9.0,0.0,0.0,0.0,0.0,0.0,2018-01-09
01/09/2018,MSP,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-09
01/09/2018,SLC,3.0,0.0,0.0,0.0,0.0,0.0,2018-01-09
01/09/2019,ATL,-11.0,0.0,0.0,0.0,0.0,0.0,2019-01-09
01/09/2019,DTW,156.0,0.0,0.0,0.0,0.0,145.0,2019-01-09
01/09/2019,MSP,3.0,0.0,0.0,0.0,0.0,0.0,2019-01-09
01/09/2019,SLC,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-09
01/10/2017,ATL,-37.0,0.0,0.0,0.0,0.0,0.0,2017-01-10
01/10/2017,DTW,12.0,19.0,0.0,9.0,0.0,0.0,2017-01-10
01/10/2017,SLC,-8.0,0.0,0.0,0.0,0.0,0.0,2017-01-10
01/10/2018,ATL,-31.0,0.0,0.0,0.0,0.0,0.0,2018-01-10
01/10/2018,DTW,-15.0,0.0,0.0,24.0,0.0,0.0,2018-01-10
01/10/2018,MSP,-8.0,0.0,0.0,0.0,0.0,0.0,2018-01-10
01/10/2018,SLC,-4.0,0.0,0.0,0.0,0.0,0.0,2018-01-10
01/10/2019,ATL,63.0,0.0,0.0,0.0,0.0,0.0,2019-01-10
01/10/2019,DTW,88.0,69.0,0.0,0.0,0.0,0.0,2019-01-10
01/10/2019,MSP,115.0,0.0,0.0,0.0,0.0,106.0,2019-01-10
01/10/2019,SLC,28.0,0.0,0.0,0.0,0.0,0.0,2019-01-10
01/11/2017,ATL,45.0,0.0,0.0,0.0,0.0,15.0,2017-01-11
01/11/2017,DTW,-1.0,0.0,0.0,0.0,0.0,0.0,2017-01-11
01/11/2017,SLC,-4.0,0.0,0.0,0.0,0.0,0.0,2017-01-11
01/11/2018,ATL,-27.0,0.0,0.0,0.0,0.0,0.0,2018-01-11
01/11/2018,DTW,16.0,0.0,0.0,0.0,0.0,0.0,2018-01-11
01/11/2018,MSP,-7.0,0.0,0.0,0.0,0.0,0.0,2018-01-11
