Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes)
01/01/2017,ATL,88.0
01/01/2017,AUS,-2.0
01/01/2017,BOS,-22.0
01/01/2017,DEN,-8.0
01/01/2017,DTW,-5.0
01/01/2017,FLL,13.0
01/01/2017,HNL,2.0
01/01/2017,LAS,2.0
01/01/2017,LAX,23.0
01/01/2017,MCO,-27.0
01/01/2017,MIA,-22.0
01/01/2017,MSP,35.0
01/01/2017,MSY,37.0
01/01/2017,PBI,-27.0
01/01/2017,PDX,-5.0
01/01/2017,PHX,-5.0
01/01/2017,RSW,-9.0
01/01/2017,SAN,4.0
01/01/2017,SEA,7.0
01/01/2017,SFO,-10.0
01/01/2017,SJU,-24.0
01/01/2017,SLC,-2.0
01/01/2017,STT,-11.0
01/01/2017,TPA,-28.0
01/01/2018,ATL,3.0
01/01/2018,AUS,115.0
01/01/2018,BOS,2.0
01/01/2018,DEN,9.0
01/01/2018,FLL,133.0
01/01/2018,HNL,148.0
01/01/2018,JAX,-3.0
01/01/2018,LAS,2.0
01/01/2018,LAX,238.0
01/01/2018,MCO,14.0
01/01/2018,MIA,18.0
01/01/2018,MSP,21.0
01/01/2018,MSY,89.0
01/01/2018,PBI,23.0
01/01/2018,PDX,48.0
01/01/2018,PHX,6.0
01/01/2018,RSW,-1.0
01/01/2018,SAN,14.0
01/01/2018,SAT,-7.0
01/01/2018,SEA,-7.0
01/01/2018,SFO,30.0
01/01/2018,SJU,37.0
01/01/2018,SLC,17.0
01/01/2018,TPA,-9.0
01/01/2019,ATL,13.0
01/01/2019,AUS,-7.0
01/01/2019,DCA,-7.0
01/01/2019,DEN,-16.0
01/01/2019,FLL,-20.0
01/01/2019,HNL,27.0
01/01/2019,JAX,4.0
01/01/2019,LAS,-21.0
01/01/2019,LAX,-11.0
01/01/2019,MCO,67.0
01/01/2019,MIA,42.0
01/01/2019,MSP,-12.0
01/01/2019,MSY,-6.0
01/01/2019,PBI,-5.0
01/01/2019,PDX,-2.0
01/01/2019,PHX,19.0
01/01/2019,RSW,-3.0
01/01/2019,SAN,11.0
01/01/2019,SAT,-6.0
01/01/2019,SEA,-17.0
01/01/2019,SFO,14.0
01/01/2019,SJC,-7.0
01/01/2019,SJU,-3.0
01/01/2019,SLC,9.0
01/01/2019,SNA,-4.0
01/01/2019,STT,-6.0
01/01/2019,TPA,-25.0
01/02/2017,ATL,56.0
01/02/2017,AUS,16.0
01/02/2017,BOS,4.0
01/02/2017,CHS,-2.0
01/02/2017,DEN,38.0
01/02/2017,DTW,-8.0
01/02/2017,FLL,19.0
01/02/2017,HNL,23.0
01/02/2017,JAC,38.0
01/02/2017,JAX,0.0
01/02/2017,LAS,52.0
01/02/2017,LAX,17.0
01/02/2017,MCO,284.0
01/02/2017,MIA,49.0
01/02/2017,MSP,62.0
01/02/2017,MSY,130.0
01/02/2017,PBI,-9.0
01/02/2017,PDX,22.0
01/02/2017,PHX,-8.0
01/02/2017,RSW,1.0
01/02/2017,SAN,-1.0
01/02/2017,SEA,35.0
01/02/2017,SFO,134.0
01/02/2017,SJU,32.0
01/02/2017,SLC,-1.0
01/02/2017,STT,10.0
01/02/2017,TPA,6.0
01/02/2018,ATL,-7.0
01/02/2018,AUS,90.0
01/02/2018,BOS,148.0
01/02/2018,CHS,85.0
01/02/2018,DEN,93.0
01/02/2018,FLL,29.0
01/02/2018,HNL,40.0
01/02/2018,JAX,2.0
01/02/2018,LAS,7.0
01/02/2018,LAX,150.0
01/02/2018,MCO,57.0
01/02/2018,MIA,72.0
01/02/2018,MSP,81.0
01/02/2018,MSY,39.0
01/02/2018,PBI,1.0
01/02/2018,PDX,92.0
01/02/2018,PHL,40.0
01/02/2018,PHX,18.0
01/02/2018,RSW,38.0
01/02/2018,SAN,35.0
01/02/2018,SAT,-2.0
01/02/2018,SEA,14.0
01/02/2018,SFO,92.0
01/02/2018,SJU,-8.0
01/02/2018,SLC,-11.0
01/02/2018,TPA,257.0
01/02/2019,ATL,8.0
01/02/2019,AUS,-2.0
01/02/2019,DCA,-5.0
01/02/2019,DEN,3.0
01/02/2019,FLL,8.0
01/02/2019,HNL,-5.0
01/02/2019,JAX,-13.0
01/02/2019,LAS,-14.0
01/02/2019,LAX,48.0
01/02/2019,MCO,11.0
01/02/2019,MIA,28.0
01/02/2019,MSP,-9.0
01/02/2019,MSY,10.0
01/02/2019,PBI,-20.0
01/02/2019,PDX,2.0
01/02/2019,PHX,-5.0
01/02/2019,RSW,-16.0
01/02/2019,SAN,10.0
01/02/2019,SAT,-2.0
01/02/2019,SEA,-5.0
01/02/2019,SFO,136.0
01/02/2019,SJC,-1.0
01/02/2019,SJU,-9.0
01/02/2019,SLC,10.0
01/02/2019,SNA,-9.0
01/02/2019,STT,-7.0
01/02/2019,TPA,-20.0
01/03/2017,ATL,80.0
01/03/2017,AUS,-7.0
01/03/2017,BOS,20.0
01/03/2017,CHS,-8.0
01/03/2017,DEN,-6.0
01/03/2017,DTW,-7.0
01/03/2017,FLL,17.0
01/03/2017,JAX,-9.0
01/03/2017,LAS,44.0
01/03/2017,LAX,23.0
01/03/2017,MCO,14.0
01/03/2017,MIA,-11.0
01/03/2017,MSP,11.0
01/03/2017,MSY,-1.0
01/03/2017,PBI,-13.0
01/03/2017,PDX,-6.0
01/03/2017,PHX,38.0
01/03/2017,RSW,25.0
01/03/2017,SAN,35.0
01/03/2017,SEA,0.0
01/03/2017,SFO,299.0
01/03/2017,SJU,12.0
01/03/2017,SLC,-8.0
01/03/2017,STT,-1.0
01/03/2017,TPA,90.0
01/03/2018,ATL,147.0
01/03/2018,AUS,61.0
01/03/2018,BOS,82.0
01/03/2018,DEN,-8.0
01/03/2018,DTW,23.0
01/03/2018,FLL,76.0
01/03/2018,LAS,-3.0
01/03/2018,LAX,173.0
01/03/2018,MCO,-10.0
01/03/2018,MIA,15.0
01/03/2018,MSP,3.0
01/03/2018,PBI,-1.0
01/03/2018,PDX,20.0
01/03/2018,PHL,82.0
01/03/2018,PHX,4.0
01/03/2018,RSW,-1.0
01/03/2018,SAN,0.0
01/03/2018,SAT,-5.0
01/03/2018,SEA,-3.0
01/03/2018,SFO,59.0
01/03/2018,SJU,78.0
01/03/2018,SLC,290.0
01/03/2018,TPA,-20.0
01/03/2019,ATL,31.0
01/03/2019,AUS,11.0
01/03/2019,DCA,0.0
01/03/2019,DEN,-12.0
01/03/2019,FLL,66.0
01/03/2019,JAX,-10.0
01/03/2019,LAS,-14.0
01/03/2019,LAX,26.0
01/03/2019,MCO,-15.0
01/03/2019,MIA,-16.0
01/03/2019,MSP,18.0
01/03/2019,MSY,-1.0
01/03/2019,PBI,166.0
01/03/2019,PDX,5.0
01/03/2019,PHX,-7.0
01/03/2019,RSW,13.0
01/03/2019,SAN,9.0
01/03/2019,SAT,-4.0
01/03/2019,SEA,3.0
01/03/2019,SFO,38.0
01/03/2019,SJC,-1.0
01/03/2019,SJU,-15.0
01/03/2019,SLC,-10.0
01/03/2019,SNA,-6.0
01/03/2019,STT,12.0
01/03/2019,TPA,12.0
01/04/2017,ATL,55.0
01/04/2017,AUS,-5.0
01/04/2017,BOS,13.0
01/04/2017,CHS,23.0
01/04/2017,DEN,249.0
01/04/2017,DTW,0.0
01/04/2017,FLL,64.0
01/04/2017,JAX,-1.0
01/04/2017,LAS,-20.0
01/04/2017,LAX,81.0
01/04/2017,MCO,-13.0
01/04/2017,MIA,31.0
01/04/2017,MSP,-4.0
01/04/2017,MSY,-10.0
01/04/2017,PBI,-8.0
01/04/2017,PDX,-6.0
01/04/2017,PHX,12.0
01/04/2017,RSW,65.0
01/04/2017,SAN,16.0
01/04/2017,SEA,14.0
01/04/2017,SFO,60.0
01/04/2017,SJU,-14.0
01/04/2017,SLC,25.0
01/04/2017,STT,-4.0
01/04/2017,TPA,2.0
01/04/2018,ATL,34.0
01/04/2018,AUS,0.0
01/04/2018,BOS,0.0
01/04/2018,DEN,0.0
01/04/2018,DTW,16.0
01/04/2018,FLL,0.0
01/04/2018,HNL,9.0
01/04/2018,LAS,5.0
01/04/2018,LAX,65.0
01/04/2018,MCO,0.0
01/04/2018,MIA,0.0
01/04/2018,MSP,0.0
01/04/2018,PBI,0.0
01/04/2018,PDX,0.0
01/04/2018,PHL,0.0
01/04/2018,PHX,0.0
01/04/2018,RSW,0.0
01/04/2018,SAN,0.0
01/04/2018,SAT,0.0
01/04/2018,SEA,0.0
01/04/2018,SFO,50.0
01/04/2018,SJU,4.0
01/04/2018,SLC,3.0
01/04/2018,TPA,0.0
01/04/2019,ATL,38.0
01/04/2019,AUS,11.0
01/04/2019,CHS,0.0
01/04/2019,DCA,0.0
01/04/2019,DEN,-10.0
01/04/2019,FLL,-2.0
01/04/2019,JAX,-3.0
01/04/2019,LAS,-5.0
01/04/2019,LAX,19.0
01/04/2019,MCO,6.0
01/04/2019,MIA,1.0
01/04/2019,MSP,-14.0
01/04/2019,MSY,-13.0
01/04/2019,PBI,145.0
01/04/2019,PDX,61.0
01/04/2019,PHX,-7.0
01/04/2019,RSW,159.0
01/04/2019,SAN,75.0
