Date (MM/DD/YYYY),Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/01/2017,312.0,252.0,0.0,15.0,0.0,0.0,2017-01-01
01/01/2018,754.0,472.0,0.0,0.0,0.0,111.0,2018-01-01
01/01/2019,80.0,41.0,0.0,147.0,0.0,105.0,2019-01-01
01/02/2017,176.0,147.0,0.0,105.0,0.0,102.0,2017-01-02
01/02/2018,718.0,2.0,0.0,21.0,0.0,617.0,2018-01-02
01/02/2019,98.0,0.0,124.0,70.0,0.0,36.0,2019-01-02
01/03/2017,408.0,116.0,1.0,30.0,0.0,224.0,2017-01-03
01/03/2018,291.0,40.0,0.0,36.0,0.0,89.0,2018-01-03
01/03/2019,-36.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/04/2017,320.0,146.0,0.0,28.0,0.0,165.0,2017-01-04
01/04/2018,0.0,5.0,0.0,54.0,0.0,0.0,2018-01-04
01/04/2019,454.0,425.0,0.0,0.0,0.0,0.0,2019-01-04
01/05/2017,172.0,65.0,0.0,90.0,0.0,57.0,2017-01-05
01/05/2018,713.0,172.0,0.0,0.0,0.0,390.0,2018-01-05
01/05/2019,252.0,109.0,0.0,24.0,0.0,58.0,2019-01-05
01/06/2017,297.0,158.0,74.0,247.0,0.0,43.0,2017-01-06
01/06/2018,313.0,52.0,0.0,0.0,0.0,18.0,2018-01-06
01/06/2019,73.0,4.0,0.0,24.0,0.0,25.0,2019-01-06
01/07/2017,399.0,93.0,199.0,322.0,0.0,123.0,2017-01-07
01/07/2018,200.0,15.0,93.0,21.0,0.0,29.0,2018-01-07
01/07/2019,-77.0,3.0,0.0,36.0,0.0,0.0,2019-01-07
01/08/2017,1000.0,576.0,0.0,45.0,0.0,154.0,2017-01-08
01/08/2018,160.0,12.0,0.0,11.0,0.0,106.0,2018-01-08
01/08/2019,-58.0,15.0,0.0,134.0,0.0,0.0,2019-01-08
01/09/2017,407.0,177.0,0.0,32.0,0.0,71.0,2017-01-09
01/09/2018,247.0,218.0,0.0,31.0,0.0,23.0,2018-01-09
01/09/2019,237.0,153.0,0.0,18.0,0.0,44.0,2019-01-09
01/10/2017,35.0,5.0,0.0,73.0,0.0,6.0,2017-01-10
01/10/2018,-77.0,0.0,0.0,22.0,0.0,0.0,2018-01-10
01/10/2019,204.0,24.0,0.0,0.0,0.0,74.0,2019-01-10
01/11/2017,-25.0,0.0,0.0,42.0,0.0,0.0,2017-01-11
01/11/2018,13.0,0.0,35.0,0.0,0.0,0.0,2018-01-11
01/11/2019,67.0,4.0,0.0,47.0,0.0,66.0,2019-01-11
01/12/2017,291.0,164.0,0.0,64.0,0.0,86.0,2017-01-12
01/12/2018,308.0,33.0,0.0,19.0,0.0,269.0,2018-01-12
01/12/2019,270.0,18.0,0.0,18.0,0.0,270.0,2019-01-12
01/13/2017,67.0,0.0,0.0,47.0,0.0,52.0,2017-01-13
01/13/2018,-31.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2019,-29.0,0.0,0.0,0.0,0.0,55.0,2019-01-13
01/14/2017,-25.0,13.0,0.0,14.0,0.0,0.0,2017-01-14
01/14/2018,-40.0,0.0,0.0,30.0,0.0,0.0,2018-01-14
01/14/2019,-48.0,0.0,0.0,0.0,0.0,38.0,2019-01-14
01/15/2017,-28.0,5.0,0.0,10.0,0.0,0.0,2017-01-15
01/15/2018,176.0,1.0,0.0,123.0,0.0,67.0,2018-01-15
01/15/2019,71.0,88.0,0.0,2.0,0.0,30.0,2019-01-15
01/16/2017,29.0,25.0,0.0,28.0,0.0,18.0,2017-01-16
01/16/2018,17.0,17.0,0.0,0.0,0.0,0.0,2018-01-16
01/16/2019,-49.0,0.0,0.0,35.0,0.0,0.0,2019-01-16
01/17/2017,107.0,84.0,0.0,0.0,0.0,6.0,2017-01-17
01/17/2018,223.0,0.0,17.0,159.0,0.0,142.0,2018-01-17
01/17/2019,189.0,96.0,0.0,35.0,0.0,55.0,2019-01-17
01/18/2017,-33.0,0.0,0.0,0.0,0.0,0.0,2017-01-18
01/18/2018,58.0,0.0,0.0,0.0,0.0,0.0,2018-01-18
01/18/2019,176.0,14.0,0.0,170.0,0.0,179.0,2019-01-18
01/19/2017,101.0,94.0,0.0,23.0,0.0,24.0,2017-01-19
01/19/2018,27.0,16.0,0.0,0.0,0.0,37.0,2018-01-19
01/19/2019,57.0,3.0,56.0,73.0,0.0,12.0,2019-01-19
01/20/2017,558.0,27.0,0.0,0.0,0.0,498.0,2017-01-20
01/20/2018,-73.0,0.0,0.0,0.0,0.0,0.0,2018-01-20
01/20/2019,212.0,18.0,0.0,33.0,0.0,167.0,2019-01-20
01/21/2017,210.0,64.0,0.0,3.0,0.0,204.0,2017-01-21
01/21/2018,-56.0,0.0,0.0,0.0,0.0,23.0,2018-01-21
01/21/2019,637.0,52.0,0.0,28.0,0.0,556.0,2019-01-21
01/22/2017,124.0,0.0,0.0,36.0,0.0,68.0,2017-01-22
01/22/2018,-54.0,0.0,0.0,0.0,0.0,0.0,2018-01-22
01/22/2019,-64.0,0.0,0.0,0.0,0.0,0.0,2019-01-22
01/23/2017,502.0,66.0,0.0,19.0,0.0,342.0,2017-01-23
01/23/2018,54.0,20.0,0.0,22.0,0.0,121.0,2018-01-23
01/23/2019,286.0,3.0,0.0,137.0,0.0,247.0,2019-01-23
01/24/2017,100.0,50.0,0.0,19.0,0.0,41.0,2017-01-24
01/24/2018,55.0,76.0,40.0,0.0,0.0,0.0,2018-01-24
01/24/2019,748.0,8.0,0.0,45.0,0.0,733.0,2019-01-24
01/25/2017,-98.0,0.0,0.0,18.0,0.0,0.0,2017-01-25
01/25/2018,17.0,23.0,0.0,16.0,0.0,0.0,2018-01-25
01/25/2019,1029.0,440.0,0.0,101.0,0.0,598.0,2019-01-25
01/26/2017,182.0,52.0,0.0,16.0,0.0,122.0,2017-01-26
01/26/2018,-62.0,0.0,0.0,15.0,0.0,0.0,2018-01-26
01/26/2019,16.0,0.0,0.0,0.0,0.0,0.0,2019-01-26
01/27/2017,-46.0,0.0,0.0,8.0,0.0,7.0,2017-01-27
01/27/2018,-2.0,39.0,0.0,0.0,0.0,0.0,2018-01-27
01/27/2019,29.0,28.0,0.0,117.0,0.0,23.0,2019-01-27
01/28/2017,-24.0,23.0,0.0,0.0,0.0,0.0,2017-01-28
01/28/2018,-95.0,4.0,0.0,23.0,0.0,0.0,2018-01-28
01/28/2019,580.0,32.0,153.0,410.0,0.0,0.0,2019-01-28
01/29/2017,694.0,397.0,0.0,17.0,0.0,200.0,2017-01-29
01/29/2018,-49.0,45.0,0.0,3.0,0.0,0.0,2018-01-29
01/29/2019,-22.0,43.0,0.0,24.0,0.0,0.0,2019-01-29
01/30/2017,11.0,0.0,0.0,0.0,0.0,0.0,2017-01-30
01/30/2018,-68.0,0.0,0.0,56.0,0.0,0.0,2018-01-30
01/30/2019,194.0,82.0,0.0,176.0,0.0,144.0,2019-01-30
01/31/2017,515.0,74.0,0.0,56.0,0.0,384.0,2017-01-31
01/31/2018,-108.0,0.0,0.0,0.0,0.0,0.0,2018-01-31
01/31/2019,1225.0,878.0,0.0,15.0,0.0,334.0,2019-01-31
02/01/2017,88.0,37.0,0.0,0.0,0.0,117.0,2017-02-01
02/01/2018,-119.0,0.0,0.0,21.0,0.0,0.0,2018-02-01
02/01/2019,761.0,413.0,0.0,0.0,0.0,368.0,2019-02-01
02/02/2017,-4.0,1.0,0.0,61.0,2.0,8.0,2017-02-02
02/02/2018,201.0,90.0,0.0,112.0,0.0,168.0,2018-02-02
02/02/2019,-65.0,0.0,0.0,0.0,0.0,0.0,2019-02-02
02/03/2017,37.0,23.0,0.0,28.0,0.0,17.0,2017-02-03
02/03/2018,51.0,89.0,0.0,0.0,0.0,0.0,2018-02-03
02/03/2019,-55.0,0.0,0.0,0.0,0.0,0.0,2019-02-03
02/04/2017,-47.0,0.0,0.0,0.0,0.0,0.0,2017-02-04
02/04/2018,126.0,17.0,0.0,107.0,0.0,145.0,2018-02-04
02/04/2019,395.0,118.0,0.0,20.0,0.0,257.0,2019-02-04
02/05/2017,64.0,100.0,0.0,0.0,0.0,0.0,2017-02-05
02/05/2018,200.0,85.0,0.0,0.0,0.0,107.0,2018-02-05
02/05/2019,-34.0,0.0,0.0,0.0,0.0,65.0,2019-02-05
02/06/2017,371.0,137.0,0.0,75.0,0.0,211.0,2017-02-06
02/06/2018,-3.0,38.0,0.0,81.0,0.0,0.0,2018-02-06
02/06/2019,-24.0,1.0,0.0,82.0,0.0,29.0,2019-02-06
02/07/2017,-1.0,0.0,0.0,0.0,0.0,78.0,2017-02-07
02/07/2018,396.0,1.0,0.0,101.0,0.0,395.0,2018-02-07
02/07/2019,257.0,139.0,0.0,150.0,0.0,152.0,2019-02-07
02/08/2017,193.0,71.0,0.0,19.0,0.0,131.0,2017-02-08
02/08/2018,-98.0,0.0,0.0,0.0,0.0,0.0,2018-02-08
02/08/2019,146.0,99.0,0.0,83.0,16.0,59.0,2019-02-08
02/09/2017,293.0,215.0,17.0,193.0,0.0,61.0,2017-02-09
02/09/2018,189.0,0.0,0.0,269.0,0.0,0.0,2018-02-09
