Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/01/2017,CLT,125.0,89.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,DFW,186.0,163.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,MIA,-11.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,ORD,18.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,PHX,-6.0,0.0,0.0,15.0,0.0,0.0,2017-01-01
01/01/2018,CLT,220.0,108.0,0.0,0.0,0.0,60.0,2018-01-01
01/01/2018,DFW,102.0,3.0,0.0,0.0,0.0,42.0,2018-01-01
01/01/2018,MIA,51.0,44.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,ORD,244.0,197.0,0.0,0.0,0.0,9.0,2018-01-01
01/01/2018,PHX,137.0,120.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2019,CLT,23.0,2.0,0.0,15.0,0.0,48.0,2019-01-01
01/01/2019,DFW,-17.0,0.0,0.0,19.0,0.0,0.0,2019-01-01
01/01/2019,MIA,62.0,0.0,0.0,8.0,0.0,57.0,2019-01-01
01/01/2019,ORD,-19.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,PHX,31.0,39.0,0.0,105.0,0.0,0.0,2019-01-01
01/02/2017,CLT,11.0,15.0,0.0,5.0,0.0,27.0,2017-01-02
01/02/2017,DFW,79.0,67.0,0.0,46.0,0.0,28.0,2017-01-02
01/02/2017,MIA,38.0,0.0,0.0,0.0,0.0,47.0,2017-01-02
01/02/2017,ORD,-9.0,0.0,0.0,19.0,0.0,0.0,2017-01-02
01/02/2017,PHX,57.0,65.0,0.0,35.0,0.0,0.0,2017-01-02
01/02/2018,CLT,91.0,0.0,0.0,0.0,0.0,57.0,2018-01-02
01/02/2018,DFW,39.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,MIA,533.0,0.0,0.0,21.0,0.0,541.0,2018-01-02
01/02/2018,ORD,51.0,2.0,0.0,0.0,0.0,19.0,2018-01-02
01/02/2018,PHX,4.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2019,CLT,-16.0,0.0,0.0,15.0,0.0,0.0,2019-01-02
01/02/2019,DFW,154.0,0.0,124.0,26.0,0.0,36.0,2019-01-02
01/02/2019,MIA,-14.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,ORD,-12.0,0.0,0.0,29.0,0.0,0.0,2019-01-02
01/02/2019,PHX,-14.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/03/2017,CLT,140.0,27.0,0.0,3.0,0.0,113.0,2017-01-03
01/03/2017,DFW,139.0,25.0,0.0,1.0,0.0,69.0,2017-01-03
01/03/2017,MIA,57.0,0.0,1.0,0.0,0.0,42.0,2017-01-03
01/03/2017,ORD,10.0,0.0,0.0,0.0,0.0,0.0,2017-01-03
01/03/2017,PHX,62.0,64.0,0.0,26.0,0.0,0.0,2017-01-03
01/03/2018,CLT,69.0,34.0,0.0,0.0,0.0,26.0,2018-01-03
01/03/2018,DFW,70.0,0.0,0.0,0.0,0.0,19.0,2018-01-03
01/03/2018,MIA,-2.0,0.0,0.0,19.0,0.0,0.0,2018-01-03
01/03/2018,ORD,77.0,0.0,0.0,17.0,0.0,15.0,2018-01-03
01/03/2018,PHX,77.0,6.0,0.0,0.0,0.0,29.0,2018-01-03
01/03/2019,CLT,-46.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/03/2019,DFW,21.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/03/2019,MIA,10.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/03/2019,ORD,-9.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/03/2019,PHX,-12.0,0.0,0.0,0.0,0.0,0.0,2019-01-03
01/04/2017,CLT,140.0,22.0,0.0,3.0,0.0,95.0,2017-01-04
01/04/2017,DFW,58.0,65.0,0.0,14.0,0.0,0.0,2017-01-04
01/04/2017,MIA,64.0,25.0,0.0,0.0,0.0,36.0,2017-01-04
01/04/2017,ORD,35.0,33.0,0.0,11.0,0.0,0.0,2017-01-04
01/04/2017,PHX,23.0,1.0,0.0,0.0,0.0,34.0,2017-01-04
01/04/2018,CLT,-2.0,0.0,0.0,0.0,0.0,0.0,2018-01-04
01/04/2018,DFW,5.0,0.0,0.0,0.0,0.0,0.0,2018-01-04
