Date (MM/DD/YYYY),Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/01/2017,16021.0,15485.0,1324.0,1243.0,0.0,198.0,0.0,71.0,2017-01-01
01/01/2018,13304.0,12787.0,1032.0,817.0,5.0,88.0,0.0,25.0,2018-01-01
01/01/2019,12652.0,12354.0,58.0,109.0,0.0,226.0,0.0,19.0,2019-01-01
01/02/2017,16023.0,16175.0,800.0,181.0,0.0,597.0,0.0,280.0,2017-01-02
01/02/2018,13592.0,12441.0,157.0,50.0,0.0,24.0,0.0,0.0,2018-01-02
01/02/2019,14129.0,13716.0,71.0,79.0,0.0,241.0,0.0,0.0,2019-01-02
01/03/2017,14273.0,14015.0,1779.0,847.0,0.0,451.0,24.0,734.0,2017-01-03
01/03/2018,13592.0,12876.0,169.0,21.0,0.0,57.0,0.0,165.0,2018-01-03
01/03/2019,14129.0,13329.0,551.0,6.0,0.0,42.0,0.0,463.0,2019-01-03
01/04/2017,13572.0,13261.0,223.0,299.0,0.0,40.0,0.0,0.0,2017-01-04
01/04/2018,13592.0,1621.0,55.0,0.0,17.0,90.0,0.0,0.0,2018-01-04
01/04/2019,14129.0,13032.0,197.0,16.0,0.0,46.0,0.0,112.0,2019-01-04
01/05/2017,14785.0,15169.0,286.0,318.0,0.0,424.0,11.0,15.0,2017-01-05
01/05/2018,13592.0,7326.0,2234.0,65.0,1691.0,549.0,0.0,326.0,2018-01-05
01/05/2019,11877.0,11323.0,847.0,744.0,0.0,193.0,0.0,14.0,2019-01-05
01/06/2017,14796.0,14816.0,518.0,351.0,26.0,325.0,0.0,104.0,2017-01-06
01/06/2018,11120.0,9102.0,1608.0,163.0,602.0,106.0,0.0,441.0,2018-01-06
01/06/2019,13970.0,13911.0,319.0,91.0,0.0,404.0,0.0,193.0,2019-01-06
01/07/2017,14375.0,9860.0,2063.0,62.0,1541.0,887.0,0.0,472.0,2017-01-07
01/07/2018,13674.0,12846.0,1195.0,146.0,170.0,67.0,0.0,280.0,2018-01-07
01/07/2019,14488.0,14202.0,52.0,45.0,72.0,63.0,0.0,99.0,2019-01-07
01/08/2017,15190.0,14483.0,2715.0,1123.0,806.0,749.0,0.0,298.0,2017-01-08
01/08/2018,13462.0,11454.0,637.0,79.0,348.0,204.0,0.0,83.0,2018-01-08
01/08/2019,13352.0,13095.0,317.0,2.0,0.0,356.0,0.0,151.0,2019-01-08
01/09/2017,13742.0,13305.0,881.0,417.0,0.0,281.0,0.0,259.0,2017-01-09
01/09/2018,12449.0,11974.0,534.0,129.0,0.0,260.0,45.0,104.0,2018-01-09
01/09/2019,13704.0,13468.0,272.0,81.0,0.0,122.0,0.0,254.0,2019-01-09
01/10/2017,12118.0,11735.0,167.0,35.0,0.0,408.0,0.0,92.0,2017-01-10
01/10/2018,13410.0,12713.0,133.0,111.0,0.0,78.0,0.0,0.0,2018-01-10
01/10/2019,14743.0,14586.0,98.0,109.0,0.0,138.0,0.0,141.0,2019-01-10
01/11/2017,13682.0,14058.0,115.0,158.0,12.0,501.0,0.0,59.0,2017-01-11
01/11/2018,13596.0,12822.0,379.0,237.0,0.0,51.0,0.0,126.0,2018-01-11
