Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/01/2017,ATL,88.0,10.0,0.0,1.0,0.0,68.0,2017-01-01
01/01/2017,AUS,-2.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,BOS,-22.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,DEN,-8.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,DTW,-5.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,FLL,13.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,HNL,2.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,LAS,2.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,LAX,23.0,4.0,0.0,2.0,0.0,12.0,2017-01-01
01/01/2017,MCO,-27.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,MIA,-22.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,MSP,35.0,40.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,MSY,37.0,15.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,PBI,-27.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,PDX,-5.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,PHX,-5.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,RSW,-9.0,0.0,0.0,20.0,0.0,0.0,2017-01-01
01/01/2017,SAN,4.0,0.0,0.0,39.0,0.0,0.0,2017-01-01
01/01/2017,SEA,7.0,0.0,0.0,54.0,0.0,0.0,2017-01-01
01/01/2017,SFO,-10.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,SJU,-24.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,SLC,-2.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,STT,-11.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,TPA,-28.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2018,ATL,3.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,AUS,115.0,79.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,BOS,2.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,DEN,9.0,13.0,0.0,8.0,0.0,0.0,2018-01-01
01/01/2018,FLL,133.0,0.0,104.0,41.0,0.0,0.0,2018-01-01
01/01/2018,HNL,148.0,62.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,JAX,-3.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,LAS,2.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,LAX,238.0,66.0,0.0,0.0,0.0,128.0,2018-01-01
01/01/2018,MCO,14.0,0.0,0.0,22.0,0.0,0.0,2018-01-01
01/01/2018,MIA,18.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,MSP,21.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,MSY,89.0,22.0,0.0,0.0,0.0,31.0,2018-01-01
