Date (MM/DD/YYYY),Destination Airport,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/01/2017,AUS,525.0,512.0,-11.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,BOS,158.0,138.0,-8.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,CLT,776.0,735.0,-11.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,DCA,91.0,90.0,12.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,DFW,251.0,235.0,-4.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,EGE,298.0,287.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,LAS,725.0,722.0,7.0,3.0,0.0,14.0,0.0,0.0,2017-01-01
01/01/2017,LAX,5213.0,5320.0,39.0,49.0,0.0,136.0,0.0,0.0,2017-01-01
01/01/2017,MCO,553.0,546.0,-11.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,MIA,1191.0,1138.0,605.0,554.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,ORD,180.0,160.0,8.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,PHX,1394.0,1042.0,-11.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,SAN,767.0,796.0,707.0,637.0,0.0,28.0,0.0,71.0,2017-01-01
01/01/2017,SEA,393.0,392.0,-2.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,SFO,2434.0,2410.0,-8.0,0.0,0.0,20.0,0.0,0.0,2017-01-01
01/01/2017,SJU,481.0,408.0,18.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,STT,240.0,213.0,-6.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2017,TUS,351.0,341.0,-3.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
01/01/2018,AUS,536.0,510.0,-9.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,BOS,76.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,CLT,657.0,604.0,119.0,53.0,0.0,0.0,0.0,25.0,2018-01-01
01/01/2018,DCA,95.0,95.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,DFW,519.0,484.0,61.0,38.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,EGE,303.0,273.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,LAS,726.0,675.0,4.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,LAX,4421.0,4270.0,329.0,255.0,5.0,45.0,0.0,0.0,2018-01-01
01/01/2018,MCO,382.0,386.0,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,MIA,1196.0,1241.0,281.0,281.0,0.0,43.0,0.0,0.0,2018-01-01
01/01/2018,ORD,186.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,PHX,1426.0,1427.0,-11.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,SAN,766.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,SEA,385.0,346.0,20.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2018,SFO,1630.0,1530.0,220.0,190.0,0.0,0.0,0.0,0.0,2018-01-01
01/01/2019,AUS,532.0,271.0,-3.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,BOS,152.0,137.0,-10.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,CLT,653.0,622.0,-4.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,DCA,92.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,DFW,1281.0,1270.0,4.0,0.0,0.0,31.0,0.0,0.0,2019-01-01
01/01/2019,EGE,292.0,354.0,-4.0,0.0,0.0,58.0,0.0,0.0,2019-01-01
01/01/2019,LAS,735.0,720.0,-9.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,LAX,2793.0,2810.0,-6.0,23.0,0.0,37.0,0.0,0.0,2019-01-01
01/01/2019,MCO,382.0,350.0,29.0,5.0,0.0,0.0,0.0,19.0,2019-01-01
01/01/2019,MIA,1198.0,1123.0,-13.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,ORD,358.0,362.0,41.0,34.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,PHX,1799.0,1873.0,-3.0,2.0,0.0,86.0,0.0,0.0,2019-01-01
01/01/2019,SAN,763.0,783.0,3.0,7.0,0.0,14.0,0.0,0.0,2019-01-01
01/01/2019,SEA,394.0,378.0,54.0,38.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SFO,1228.0,1203.0,-21.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/02/2017,AUS,525.0,506.0,11.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
